Date,Status
1/8/2025,Working
2/8/2025,Working
3/8/2025,Holiday
4/8/2025,Working
5/8/2025,Working
6/8/2025,Working
7/8/2025,Working
8/8/2025,Working
9/8/2025,Working
10/8/2025,Holiday
11/8/2025,Working
12/8/2025,Working
13-08-2025,Working
14-08-2025,Working
15-08-2025,Holiday
16-08-2025,Working
17-08-2025,Holiday
18-08-2025,Working
19-08-2025,Working
20-08-2025,Working
21-08-2025,Working
22-08-2025,Working
23-08-2025,Working
24-08-2025,Holiday
25-08-2025,Working
26-08-2025,Working
27-08-2025,Holiday
28-08-2025,Working
29-08-2025,Working
30-08-2025,Working
31-08-2025,Holiday
